file,class,method,variable,usage
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUrlSafe/0,encoded,4
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodec112/0,in,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodec112/0,out,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,standard,6
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,decodedUrlSafe1,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,decodedUrlSafe2,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,decodedUrlSafe3,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,ids,10
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,i,14
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,encodedStandard,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,decodedStandard,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,urlSafe2,5
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,encodedUrlSafe,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,urlSafe3,6
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testUUID/0,urlSafe1,5
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,b64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,original,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,oEncoded,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,bArray,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,origObj,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,dest,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,"testBase64InBuffer/2[int,int]",encodedContent,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,"testBase64InBuffer/2[int,int]",bytesUtf8,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,"testBase64InBuffer/2[int,int]",encodedBytes,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,"testBase64InBuffer/2[int,int]",startPasSize,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,"testBase64InBuffer/2[int,int]",buffer,3
